uniprot_id,ph_optimum,ec_id
B3VHW3,6,3.2.1.17
Q16MV6,9.5,1.2.1.94
Q52087,10.25,3.8.1.2
Q9SDX0,6,2.4.1.207
Q0K080,8,2.7.1.45 ; 2.7.1.13
Q9F150,8.3,6.5.1.2
P08337,9,3.6.1.55
M4QNR9,9,3.2.1.8
A0A1S6XZP1,4.75,3.2.1.3
P9WKJ5,7.8,4.2.1.9
Q6XMI3,7.5,2.1.1.273 ; 2.1.1.274
Q9BYN0,7.5,1.8.98.2
Q31QK9,7.5,2.5.1.16
Q7DM12,7.6,3.2.2.22
Q39023,7.5,2.7.11.24
P62593,7.5,3.5.2.6
O58478,6.75,5.1.1.-; 5.1.1.1
P22498,5.5,3.2.1.23
P0DOB6,7.5,2.7.1.11
P08179,8.5,2.1.2.2
O05527,9,3.1.1.75
Q75WV3,7,3.1.3.12
P0AEK4,7.5,1.3.1.9
P0DKR0,4,3.4.24.-
P85345,6,3.2.1.17
Q07510,6,2.3.1.180
Q769K2,7.633,3.1.4.54
Q9UQM7,7.6,2.7.11.17
A0A2Z4EVE5,8,4.1.1.18
Q8L0X3,7.5,4.4.1.28
D6QY02,6,3.4.22.-; 3.5.1.28
A0A0U2US60,2.8,1.10.3.2
P50750,7.4,2.7.11.23
Q8W428,7,3.2.1.14
P00966,7.8,6.3.4.5
A0MTG4,6.5,1.1.1.431
D7REY3,7,1.17.5.2
M9W6G9,7.5,3.1.4.17
H8WR05,7.6,2.6.1.5
Q93GB6,7.5,3.1.3.8
W8P6D0,6,3.2.1.91
A0A223GEG1,5.5,3.2.1.39
A0A0H2ZHZ8,8.4,4.1.1.19
P50389,7.4,2.4.2.28
D3U1A5,6.5,2.5.1.18
Q9HX12,7.5,4.2.1.119
P95001,7.3,1.1.1.25
B9I6S9,7,2.3.1.196
Q4KMI8,7.2,2.7.11.21
B3WD16,7.5,5.4.2.10
Q836D9,7,2.7.7.39
A9ZND1,7,3.2.1.72
P15925,10,6.3.2.17
S5FT07,7,3.13.1.5
P96156,6.75,3.2.1.202
P00349,8,1.1.1.44
A0A089LI24,7.7,2.4.1.389
P18405,7.2,1.3.99.5
Q95158,6.7,2.4.1.88
P39844,12,3.4.16.4
I3QKR9,5,3.2.1.8
